cityid,place,rating,num_rating
4,Basar Saraswati Temple,4.0804597701149425,87
4,Fun Park,5.0000000000000000,1
4,Gudem Satyanarayana Swamy Temple,5.0000000000000000,2
4,Jainath Temple,3.8333333333333333,6
4,Kadam Dam,4.5263157894736842,19
4,Kadile Papahareshwar Temple,5.0000000000000000,2
4,Kalwa Narsimha Swamy Temple,4.6666666666666667,3
4,Kawal Wildlife Sanctuary,3.8571428571428571,14
4,Kuntala Waterfall,4.0563380281690141,71
4,Pochera Waterfalls,4.3636363636363636,22
4,Pranahita Wildlife Sanctuary,4.7500000000000000,4
4,Saptha Kund,5.0000000000000000,3
4,Sathnala Dam,4.6000000000000000,5
4,Sivaram Wildlife Sanctuary,4.3333333333333333,3
6,Adoni Fort,4.2000000000000000,5
7,Mannadi Devi Temple,4.0000000000000000,2
7,Trichennamangalam Mahadevar Temple,4.4000000000000000,5
11,Baramura Eco Park,5.0000000000000000,1
11,Benu Ban Bihari Temple,4.5000000000000000,2
11,Benuban Vihar,4.0000000000000000,2
11,Chowda Devta Temple,3.5000000000000000,4
11,Domboor Lake,4.5000000000000000,4
11,Dumboor Lake,4.5000000000000000,4
11,Fourteen Goddess Temple,4.1250000000000000,24
11,Gedu Miar Maszid,3.8000000000000000,5
11,Gedumian Mosque,4.0000000000000000,2
11,Gondacherra Wildlife Sanctuary,4.2500000000000000,4
11,Haveli Museum,3.8333333333333333,6
11,Heritage Park,4.5000000000000000,48
11,ISKCON Temple,4.6000000000000000,5
11,"ISKCON, Math Chowmuhani",4.3750000000000000,8
11,Jagannath Temple,4.1290322580645161,31
11,Jampui Hill,4.1250000000000000,16
11,Kalapania Nature Park,4.6000000000000000,5
11,Kalibari Temple,3.8750000000000000,8
11,Kalyan Sagar Lake,4.1250000000000000,16
11,Kamala Sagar,3.6250000000000000,8
11,Kamaleswari Temple,4.0937500000000000,32
11,Kunjaban Palace,2.7500000000000000,4
11,Malancha Niwas,3.5000000000000000,8
11,Neermahal Palace,4.0704225352112676,142
11,Nehru Park,4.4444444444444444,9
11,Ram Thakur's Ashram,4.0000000000000000,1
11,Ramkrishna Mission,4.0000000000000000,4
11,Ravindra Kanan,4.5000000000000000,8
11,Rose Valley Amusement Park,4.5000000000000000,10
11,Rudrasagar Lake,4.2000000000000000,15
11,Sepahijala Wild Life Sanctuary,4.1904761904761905,42
11,Sipahijala Wildlife Sanctuary,4.0400000000000000,50
11,Sukanta Academy,4.7500000000000000,4
11,Tripura Government Museum,4.0147058823529412,68
11,Tripura State Tribal Museum,4.2000000000000000,5
11,Trishna Wildlife Sanctuary,3.7500000000000000,8
11,Ujjayanta Palace,4.2466666666666667,150
11,Umamaheswar Temple,3.5000000000000000,4
11,Ummaneshwar Temple,4.0000000000000000,2
11,Unakoti,4.0229885057471264,87
11,Venuban Vihar Buddha Shrine,4.6000000000000000,10
12,Agra Art Gallery,4.2795698924731183,93
12,Agra Fort,4.2995332555425904,8570
12,Agra Fort Railway Station,3.0000000000000000,1
12,Anguri Bagh,4.1835443037974684,158
